fecha_hora,color_cascara,etapa_unece,textura,manchas_oscuras,golpes_deformaciones,signos_enfermedad,apto_nacional,apto_internacional,diagnostico
2026-08-03 16:45:32,verde,2,liso,no,no,no,sí,no,"banano verde, sin manchas ni golpes. apto para exportación nacional y no para internacional."
2026-08-03 20:41:59,verde,2,liso,no,no,no,sí,no,"banano verde, sin manchas ni golpes. apto para exportación nacional y no para internacional."
2026-08-03 20:45:54,verde,2,liso,no,no,no,sí,no,"banano verde, sin manchas ni golpes. apto para exportación nacional, pero no para internacional."
2026-08-11 11:14:14,verde,2,liso,no,no,no,sí,no,pintón
2026-08-27 20:50:20,verde,2,pintón,no,no,no,sí,no,"pintón, apto para consumo local."
2026-09-02 08:35:03,verde,2,pintón,no,no,no,sí,no,pintón
2026-09-02 10:45:50,amarillo,6,madura,no concluyente,no concluyente,no concluyente,no concluyente,no,resultado orientativo por análisis visual del color
2026-09-02 10:55:00,amarillo,6,madura,no concluyente,no concluyente,no concluyente,no concluyente,no,resultado orientativo por análisis visual del color
2026-09-02 10:55:46,verde,2,firme,no concluyente,no concluyente,no concluyente,no concluyente,sí,resultado orientativo por análisis visual del color
2026-09-02 10:59:26,verde,2,firme,no concluyente,no concluyente,no concluyente,no concluyente,sí,resultado orientativo por análisis visual del color
2026-09-02 11:05:33,verde,2,firme,no concluyente,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-02 11:08:27,verde,2,firme,sí,no concluyente,no concluyente,no concluyente,no,resultado orientativo por análisis visual del color
2026-09-02 11:09:02,amarillo,6,madura,no concluyente,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-02 11:13:07,amarillo,6,madura,no concluyente,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-02 13:41:35,amarillo,6,madura,no concluyente,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-03 15:18:13,verde,2,firme,sí,no concluyente,no concluyente,no concluyente,no,resultado orientativo por análisis visual del color
2026-09-03 15:22:08,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-03 15:22:49,amarillo,6,madura,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-03 15:24:24,amarillo,6,madura,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-03 15:27:34,amarillo,6,madura,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-03 15:28:42,amarillo,6,madura,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-03 15:31:45,amarillo,6,madura,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-03 15:58:57,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-03 15:59:35,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-03 16:04:19,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-03 16:04:51,amarillo,6,madura,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-04 15:05:37,amarillo,6,madura,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-04 15:08:16,verde,2,firme,sí,no concluyente,no concluyente,no concluyente,no,resultado orientativo por análisis visual del color
2026-09-05 20:29:26,verde,2,firme,sí,no concluyente,no concluyente,no concluyente,no,resultado orientativo por análisis visual del color
2026-09-05 20:39:22,verde,2,firme,sí,no concluyente,no concluyente,no concluyente,no,resultado orientativo por análisis visual del color
2026-09-05 20:40:05,verde,2,firme,sí,no concluyente,no concluyente,no concluyente,no,resultado orientativo por análisis visual del color
2026-09-05 20:41:36,verde,2,firme,sí,no concluyente,no concluyente,no concluyente,no,resultado orientativo por análisis visual del color
2026-09-05 20:42:07,verde,2,firme,sí,no concluyente,no concluyente,no concluyente,no,resultado orientativo por análisis visual del color
2026-09-05 20:45:02,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:47:40,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:47:42,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:48:01,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:48:24,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:49:00,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:50:04,verde,2,firme,sí,no concluyente,no concluyente,no,no,resultado orientativo por análisis visual del color
2026-09-05 20:51:27,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:51:43,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:51:55,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:52:20,verde,2,firme,sí,no concluyente,no concluyente,no,no,resultado orientativo por análisis visual del color
2026-09-05 20:52:39,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:55:42,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:56:06,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:56:16,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:56:25,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:57:52,verde,2,firme,no,no concluyente,no concluyente,apto para exportacion,apto para exportacion,clasificada como apta para exportación según dataset/exportacion
2026-09-05 20:58:10,verde,2,firme,no,no concluyente,no concluyente,no concluyente,no concluyente,resultado orientativo por análisis visual del color
2026-09-05 20:59:58,verde,2,firme,no,no concluyente,no concluyente,no apto para exportacion,no apto para exportacion,clasificada como no apta para exportación según dataset/rechazo
