fecha_hora,color_suelo,humedad,cobertura_vegetal,erosion,compactacion,materia_organica,apto_siembra,problemas,recomendacion
2026-09-02 07:49:51,marrón oscuro,húmedo pero no encharcado,no hay erosión ni compactación visible,ninguno,no,baja,no,"falta de materia orgánica, humedad insuficiente y falta de cobertura vegetal","mejora la calidad del suelo a través de la adición de materia orgánica, mejorar la humedad y plantar una cubierta vegetal para proteger el suelo y mejorar la calidad del suelo."
2026-09-02 08:20:03,marrón oscuro,húmedo pero no encharcado,no hay erosión ni compactación visible,ninguno,no,baja,no,"falta de materia orgánica, humedad insuficiente",aplicar fertilizantes y mejorar la humedad del suelo para hacerlo apto para siembra de banano.
2026-09-02 13:41:03,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-03 15:13:25,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-03 15:13:52,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-03 15:17:01,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-03 15:17:43,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 20:40:33,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 20:40:53,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 21:50:13,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:04:52,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:05:03,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:05:16,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:05:25,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:05:35,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:05:45,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:05:56,marrón oscuro,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:07:38,rojo/rojizo,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:07:53,rojo/rojizo,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:08:45,rojo/rojizo,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:08:49,rojo/rojizo,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:08:56,rojo/rojizo,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:09:02,marrón,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:09:12,gris,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:09:24,rojo/rojizo,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:09:33,marrón,no concluyente,no concluyente,no concluyente,no concluyente,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:11:01,rojo/rojizo,húmedo visualmente,poca cobertura vegetal visible,posibles zonas de erosión o suelo expuesto,no se observan señales claras de compactación,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:14:52,marrón,húmedo visualmente,cobertura vegetal visible,no se observan señales claras de erosión,no se observan señales claras de compactación,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:17:13,marrón,húmedo visualmente,cobertura vegetal visible,no se observan señales claras de erosión,no se observan señales claras de compactación,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:19:22,marrón,húmedo visualmente,cobertura vegetal visible,no se observan señales claras de erosión,no se observan señales claras de compactación,presente visualmente,apto para siembra de banano (orientativo),se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:22:25,amarillo/ocre,húmedo visualmente,cobertura vegetal visible,no se observan señales claras de erosión,no se observan señales claras de compactación,presente visualmente,apto para siembra de banano (orientativo),se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
2026-09-05 22:22:57,rojo/rojizo,húmedo visualmente,poca cobertura vegetal visible,posibles zonas de erosión o suelo expuesto,no se observan señales claras de compactación,presente visualmente,no concluyente,se requiere una inspección de campo,"confirmar ph, drenaje y compactación con mediciones de campo"
