epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8364,0.86887,2.21371,3.97328,1.24264,0,0.00464,1,0.1016,0.05566,0.00464,1,0.13394,0.08416,0.6097,1.05304,3.57697,1.11057,0,0,0,0
2,38.8967,0.79513,2.16747,3.29109,1.13388,0,0.00462,1,0.11824,0.06186,0.00462,1,0.14679,0.09787,0.59335,1.01793,3.57158,1.09184,0,1.63399e-05,1.63399e-05,1.63399e-05
3,50.9486,0.61908,1.67421,3.27267,1.0126,0,0.00458,1,0.16874,0.07844,0.00458,1,0.16791,0.11526,0.59656,0.98372,3.56031,1.07972,0,3.20197e-05,3.20197e-05,3.20197e-05
4,62.2004,0.43813,0.71296,3.187,0.95203,0,0.00456,1,0.23065,0.10012,0.00456,1,0.23065,0.14247,0.59056,0.95218,3.582,1.0727,0,4.70394e-05,4.70394e-05,4.70394e-05
5,73.7247,0.64621,1.62739,3.25554,1.13606,0,0.00454,1,0.20503,0.12806,0.00454,1,0.20503,0.15956,0.60518,0.93532,3.621,1.06939,0,6.13989e-05,6.13989e-05,6.13989e-05
6,86.1302,0.48808,1.0995,3.38279,0.98957,0,0.00446,1,0.22931,0.16286,0.00446,1,0.22931,0.19576,0.61756,0.93109,3.5996,1.05948,0,7.50984e-05,7.50984e-05,7.50984e-05
7,98.0927,0.57957,1.05205,3.03391,0.94927,0,0.00448,1,0.27579,0.19466,0.00448,1,0.27579,0.22664,0.63413,0.89489,3.54783,1.03763,0,8.81376e-05,8.81376e-05,8.81376e-05
8,112.342,0.47496,0.66859,2.68341,0.92424,0,0.00441,1,0.32576,0.22429,0.00441,1,0.3313,0.26033,0.64684,0.90517,3.53879,1.05025,0,0.000100517,0.000100517,0.000100517
9,125.515,0.59845,0.75012,2.92345,0.99822,0,0.00444,1,0.38822,0.25787,0.00444,1,0.38822,0.29131,0.61666,0.89932,3.5275,1.03812,0,0.000112236,0.000112236,0.000112236
10,138.287,0.53493,0.87648,2.49024,0.94929,0,0.00447,1,0.40662,0.26518,0.00447,1,0.40662,0.30432,0.56662,0.90109,3.51156,1.01235,0,0.000123295,0.000123295,0.000123295
